Generation,Best Fitness,Average Fitness,Species Count
0,-250.59581111111112,-425.4675013703704,2
1,-256.31627901234566,-413.2839254567898,2
2,-242.63252098765435,-404.6835011604939,2
3,-104.20306543209875,-382.9625489259259,2
4,33.35250246913574,-395.3104271234565,2
5,11.802818518518563,-353.14765856790126,2
6,-20.612513580246855,-349.2405562469136,2
7,2509.3059728395065,-299.8419894444445,2
8,12.871618518518517,-319.37347391358026,2
9,123.1202358024691,-304.209767654321,2
10,389.9320864197532,-303.47285753086425,2
11,457.84791851851844,-274.63378333333327,2
12,427.01296666666667,-288.46273708641985,2
13,48.14214444444451,-312.4118396790122,2
14,11.519391358024677,-323.4944262345678,2
15,368.6261925925926,-286.78174740740747,2
16,251.01720864197523,-332.3018475061729,2
17,268.19108271604944,-327.4974817160493,2
18,297.79801851851846,-294.6285602345679,2
19,259.442650617284,-282.2311183950618,2
20,305.53757654321,-288.8100235679013,2
21,252.43388271604942,-318.8200895925925,2
22,841.2968962962964,-291.8393284444445,2
23,527.3147666666666,-294.27834970370367,2
24,461.26378641975316,-301.85563228395074,2
25,960.9103765432098,-290.09761059259256,2
26,154.553524691358,-304.916214765432,2
27,608.2982962962963,-281.5001629135803,2
28,405.80234074074076,-279.1833455308642,2
29,26.936444444444533,-325.43606074074086,2
30,9.445476543209907,-336.37703779012344,2
31,1565.9180185185185,-293.3404204567902,2
32,303.8931827160494,-271.8816644691357,2
33,378.51559876543206,-310.35136338271604,2
34,169.4002197530864,-324.2804376913579,2
35,94.21079135802472,-307.4921735185185,2
36,283.2983765432099,-231.7920112469136,2
37,1911.5185185185185,-254.5345989012346,2
38,144.34017530864196,-290.5007934691359,2
39,170.70076049382715,-270.9486993950617,2
40,1481.1178185185183,-279.29797711111127,2
41,380.3318925925927,-294.8873215308641,2
42,379.71150493827156,-313.6394587654322,2
43,712.389350617284,-256.3016205802469,2
44,53.541254320987605,-327.1833630123456,2
45,68.44307530864205,-302.96311885185185,2
46,633.7780925925927,-313.11738693827164,2
47,489.02620864197536,-330.37477588888873,2
48,110.02357530864197,-317.83708533333333,2
49,327.86126666666667,-326.878376851852,2
50,365.61758641975314,-292.4687485185184,2
51,27.337602469135845,-328.1625109382715,2
52,8.551854320987673,-328.19168917283963,2
53,205.80960370370371,-310.2533173209876,2
54,21.090782716049375,-317.5491831481483,2
55,194.6481679012345,-304.6622865308641,2
56,2069.335802469136,-283.6745210123456,2
57,523.2933407407407,-285.75574390123455,2
58,556.221550617284,-292.22755662962965,2
59,124.72991975308639,-315.5287251358023,2
60,260.2057827160494,-307.61839002469134,2
61,474.7744666666666,-308.3232787777777,2
62,172.89417530864205,-292.06420485185185,2
63,797.4013728395062,-295.98480593827173,2
64,644.5456925925926,-268.2814540987655,2
65,368.65205061728386,-270.92868651851853,2
66,400997.4789851852,3723.9435752592585,2
67,656.4839827160495,-247.4294057407408,2
68,163.91076666666663,-266.85610622222225,2
69,160.10310246913582,-286.7525189506173,2
70,250.27821851851843,-238.65387420987656,2
71,977.2964962962963,-252.31887833333332,2
72,308.46506666666664,-265.88455344444435,2
73,139.93057530864212,-255.57373261728387,2
